velocidad_balax,bala_h_x,velocidad_balay,bala_v_y,accion_horizontal,salto
-8,700,5,0,0,0
-8,692,5,5,0,0
-8,684,5,10,0,0
-8,676,5,15,0,0
-8,668,5,20,0,0
-8,660,5,25,0,0
-8,652,5,30,0,0
-8,644,5,35,0,0
-8,636,5,40,0,0
-8,628,5,45,0,0
-8,620,5,50,0,0
-8,612,5,55,0,0
-8,604,5,60,0,0
-8,596,5,65,0,0
-8,588,5,70,0,0
-8,580,5,75,0,0
-8,572,5,80,0,0
-8,564,5,85,0,0
-8,556,5,90,0,0
-8,548,5,95,0,0
-8,540,5,100,0,0
-8,532,5,105,0,0
-8,524,5,110,0,0
-8,516,5,115,0,0
-8,508,5,120,0,0
-8,500,5,125,0,0
-8,492,5,130,0,0
-8,484,5,135,0,0
-8,476,5,140,0,0
-8,468,5,145,0,0
-8,460,5,150,0,0
-8,452,5,155,0,0
-8,444,5,160,0,0
-8,436,5,165,0,0
-8,428,5,170,0,0
-8,420,5,175,0,0
-8,412,5,180,0,0
-8,404,5,185,0,0
-8,396,5,190,0,0
-8,388,5,195,0,0
-8,380,5,200,0,0
-8,372,5,205,0,0
-8,364,5,210,0,0
-8,356,5,215,0,0
-8,348,5,220,0,0
-8,315,5,225,1,0
-8,307,5,230,1,0
-8,299,5,235,1,0
-8,291,5,240,1,0
-8,283,5,245,0,0
-8,275,5,250,0,0
-8,267,5,255,0,0
-8,259,5,260,0,0
-8,251,5,265,0,0
-8,243,5,270,0,0
-8,235,5,275,0,0
-8,227,5,280,0,0
-8,219,5,285,0,0
-8,211,5,290,0,0
-8,203,5,295,0,0
-8,195,5,300,0,0
-8,187,5,305,0,0
-8,179,5,310,0,0
-8,171,5,315,0,0
-8,163,5,320,0,0
-8,155,5,325,0,0
-8,147,5,330,0,0
-8,139,5,335,0,0
-8,131,5,340,0,0
-8,123,5,345,0,0
-8,115,5,350,0,0
-8,107,5,355,0,0
-8,99,5,360,0,0
-8,91,5,365,0,0
-8,83,5,370,0,0
-8,100,5,375,0,1
-8,92,5,380,0,1
-8,84,5,385,0,1
-8,76,5,390,0,1
-8,68,5,395,0,1
-8,60,5,400,0,1
-8,52,5,0,0,1
-8,44,5,5,0,1
-8,36,5,10,0,1
-8,28,5,15,0,1
-8,20,5,20,0,1
-8,12,5,25,0,1
-8,4,5,30,0,1
-8,-4,5,35,0,1
-8,-12,5,40,0,1
-8,-20,5,45,0,1
-8,-28,5,50,0,1
-8,-36,5,55,0,1
-8,-44,5,60,0,1
-5,700,5,65,0,1
-5,695,5,70,0,1
-5,690,5,75,0,1
-5,685,5,80,0,1
-5,680,5,85,0,1
-5,675,5,90,0,1
-5,670,5,95,0,1
-5,665,5,100,0,1
-5,660,5,105,0,1
-5,655,5,110,0,1
-5,650,5,115,0,1
-5,645,5,120,0,0
-5,640,5,125,0,0
-5,635,5,130,0,0
-5,630,5,135,0,0
-5,625,5,140,0,0
-5,620,5,145,0,0
-5,615,5,150,0,0
-5,610,5,155,0,0
-5,605,5,160,0,0
-5,600,5,165,0,0
-5,595,5,170,0,0
-5,590,5,175,0,0
-5,585,5,180,0,0
-5,580,5,185,0,0
-5,575,5,190,0,0
-5,570,5,195,0,0
-5,565,5,200,0,0
-5,560,5,205,0,0
-5,555,5,210,0,0
-5,550,5,215,0,0
-5,545,5,220,0,0
-5,540,5,225,0,0
-5,510,5,230,1,0
-5,505,5,235,1,0
-5,500,5,240,1,0
-5,495,5,245,1,0
-5,490,5,250,0,0
-5,485,5,255,0,0
-5,480,5,260,0,0
-5,475,5,265,0,0
-5,470,5,270,0,0
-5,465,5,275,0,0
-5,460,5,280,0,0
-5,455,5,285,0,0
-5,450,5,290,0,0
-5,445,5,295,0,0
-5,440,5,300,0,0
-5,435,5,305,0,0
-5,430,5,310,0,0
-5,425,5,315,0,0
-5,420,5,320,0,0
-5,415,5,325,0,0
-5,410,5,330,0,0
-5,405,5,335,0,0
-5,400,5,340,0,0
-5,395,5,345,0,0
-5,390,5,350,0,0
-5,385,5,355,0,0
-5,380,5,360,0,0
-5,375,5,365,0,0
-5,370,5,370,0,0
-5,365,5,375,0,0
-5,385,5,380,0,0
-5,380,5,385,0,0
-5,375,5,390,0,0
-5,370,5,395,0,0
-5,365,5,400,0,0
-5,360,5,0,0,0
-5,355,5,5,0,0
-5,350,5,10,0,0
-5,345,5,15,0,0
-5,340,5,20,0,0
-5,335,5,25,0,0
-5,330,5,30,0,0
-5,325,5,35,0,0
-5,320,5,40,0,0
-5,315,5,45,0,0
-5,310,5,50,0,0
-5,305,5,55,0,0
-5,300,5,60,0,0
-5,295,5,65,0,0
-5,290,5,70,0,0
-5,285,5,75,0,0
-5,280,5,80,0,0
-5,275,5,85,0,0
-5,270,5,90,0,0
-5,265,5,95,0,0
-5,260,5,100,0,0
-5,255,5,105,0,0
-5,250,5,110,0,0
-5,245,5,115,0,0
-5,240,5,120,0,0
-5,235,5,125,0,0
-5,230,5,130,0,0
-5,225,5,135,0,0
-5,220,5,140,0,0
-5,215,5,145,0,0
-5,210,5,150,0,0
-5,205,5,155,0,0
-5,200,5,160,0,0
-5,195,5,165,0,0
-5,190,5,170,0,0
-5,185,5,175,0,0
-5,180,5,180,0,0
-5,175,5,185,0,0
-5,170,5,190,0,0
-5,165,5,195,0,0
-5,160,5,200,0,0
-5,155,5,205,0,0
-5,150,5,210,0,0
-5,145,5,215,0,0
-5,140,5,220,0,0
-5,110,5,225,1,0
-5,105,5,230,1,0
-5,100,5,235,1,0
-5,95,5,240,1,0
-5,90,5,245,0,0
-5,85,5,250,0,0
-5,80,5,255,0,0
-5,75,5,260,0,0
-5,70,5,265,0,0
-5,65,5,270,0,0
-5,60,5,275,0,0
-5,55,5,280,0,0
-5,50,5,285,0,1
-5,45,5,290,0,1
-5,40,5,295,0,1
-5,35,5,300,0,1
-5,30,5,305,0,1
-5,25,5,310,0,1
-5,20,5,315,0,1
-5,15,5,320,0,1
-5,10,5,325,0,1
-5,5,5,330,0,1
-5,0,5,335,0,1
-5,-5,5,340,0,1
-5,-10,5,345,0,1
-5,-15,5,350,0,1
-5,-20,5,355,0,1
-5,-25,5,360,0,1
-5,-30,5,365,0,1
-5,-35,5,370,0,1
-5,-15,5,375,0,1
-5,-20,5,380,0,1
-5,-25,5,385,0,1
-5,-30,5,390,0,1
-5,-35,5,395,0,1
-5,-40,5,400,0,1
-5,-45,5,0,0,1
-5,-50,5,5,0,1
-6,700,5,10,0,1
-6,694,5,15,0,1
-6,688,5,20,0,1
-6,682,5,25,0,1
-6,676,5,30,0,0
-6,670,5,35,0,0
-6,664,5,40,0,0
-6,658,5,45,0,0
-6,652,5,50,0,0
-6,646,5,55,0,0
-6,640,5,60,0,0
-6,634,5,65,0,0
-6,628,5,70,0,0
-6,622,5,75,0,0
-6,616,5,80,0,0
-6,610,5,85,0,0
-6,604,5,90,0,0
-6,598,5,95,0,0
-6,592,5,100,0,0
-6,586,5,105,0,0
-6,580,5,110,0,0
-6,574,5,115,0,0
-6,568,5,120,0,0
-6,562,5,125,0,0
-6,556,5,130,0,0
-6,550,5,135,0,0
-6,544,5,140,0,0
-6,538,5,145,0,0
-6,532,5,150,0,0
-6,526,5,155,0,0
-6,520,5,160,0,0
-6,514,5,165,0,0
-6,508,5,170,0,0
-6,502,5,175,0,0
-6,496,5,180,0,0
-6,490,5,185,0,0
-6,484,5,190,0,0
-6,478,5,195,0,0
-6,472,5,200,0,0
-6,466,5,205,0,0
-6,460,5,210,0,0
-6,454,5,215,0,0
-6,448,5,220,0,0
-6,442,5,225,0,0
-6,436,5,230,0,0
-6,430,5,235,0,0
-6,399,5,240,1,0
-6,393,5,245,1,0
-6,387,5,250,1,0
-6,381,5,255,1,0
-6,375,5,260,0,0
-6,369,5,265,0,0
-6,363,5,270,0,0
-6,357,5,275,0,0
-6,351,5,280,0,0
-6,345,5,285,0,0
-6,339,5,290,0,0
-6,333,5,295,0,0
-6,327,5,300,0,0
-6,321,5,305,0,0
-6,315,5,310,0,0
-6,309,5,315,0,0
-6,303,5,320,0,0
-6,297,5,325,0,0
-6,291,5,330,0,0
-6,285,5,335,0,0
-6,279,5,340,0,0
-6,273,5,345,0,0
-6,267,5,350,0,0
-6,261,5,355,0,0
-6,255,5,360,0,0
-6,249,5,365,0,0
-6,243,5,370,0,0
-6,237,5,375,0,0
-6,231,5,380,0,0
-6,225,5,385,0,0
-6,244,5,390,0,0
-6,238,5,395,0,0
-6,232,5,400,0,0
-6,226,5,0,0,0
-6,220,5,5,0,0
-6,214,5,10,0,0
-6,208,5,15,0,0
-6,202,5,20,0,0
-6,196,5,25,0,0
-6,190,5,30,0,0
-6,184,5,35,0,0
-6,178,5,40,0,0
-6,172,5,45,0,0
-6,166,5,50,0,0
-6,160,5,55,0,0
-6,154,5,60,0,0
-6,148,5,65,0,0
-6,142,5,70,0,0
-6,136,5,75,0,0
-6,130,5,80,0,0
-6,124,5,85,0,0
-6,118,5,90,0,0
-6,112,5,95,0,0
-6,81,5,100,1,0
-6,75,5,105,1,0
-6,69,5,110,1,0
-6,63,5,115,0,0
-6,57,5,120,0,0
-6,51,5,125,0,0
-6,45,5,130,0,1
-6,39,5,135,0,1
-6,33,5,140,0,1
-6,27,5,145,0,1
-6,21,5,150,0,1
-6,15,5,155,0,1
-6,9,5,160,0,1
-6,3,5,165,0,1
-6,-3,5,170,0,1
-6,-9,5,175,0,1
-6,-15,5,180,0,1
-6,-21,5,185,1,1
-6,-27,5,190,1,1
-6,-33,5,195,1,1
-6,-39,5,200,0,1
-6,-45,5,205,0,1
-6,-51,5,210,1,1
-6,-57,5,215,1,1
-6,-63,5,220,1,1
-6,-69,5,225,1,1
-6,-75,5,230,0,1
-6,675,5,235,0,1
-6,669,5,240,0,1
-6,663,5,245,1,1
-6,682,5,250,1,1
