velocidad_balax,bala_h_x,velocidad_balay,bala_v_y,accion_horizontal,salto
-7,700,5,0,0,0
-7,693,5,5,0,0
-7,686,5,10,0,0
-7,679,5,15,0,0
-7,672,5,20,0,0
-7,665,5,25,0,0
-7,658,5,30,0,0
-7,651,5,35,0,0
-7,644,5,40,0,0
-7,637,5,45,0,0
-7,630,5,50,0,0
-7,623,5,55,0,0
-7,616,5,60,0,0
-7,609,5,65,0,0
-7,602,5,70,0,0
-7,595,5,75,0,0
-7,588,5,80,0,0
-7,581,5,85,0,0
-7,574,5,90,0,0
-7,567,5,95,0,0
-7,560,5,100,0,0
-7,553,5,105,0,0
-7,546,5,110,0,0
-7,539,5,115,0,0
-7,532,5,120,0,0
-7,525,5,125,0,0
-7,518,5,130,0,0
-7,511,5,135,0,0
-7,504,5,140,0,0
-7,497,5,145,0,0
-7,490,5,150,0,0
-7,483,5,155,0,0
-7,476,5,160,0,0
-7,469,5,165,0,0
-7,462,5,170,0,0
-7,455,5,175,0,0
-7,448,5,180,0,0
-7,441,5,185,0,0
-7,434,5,190,0,0
-7,427,5,195,0,0
-7,420,5,200,0,0
-7,413,5,205,0,0
-7,406,5,210,0,0
-7,399,5,215,0,0
-7,392,5,220,0,0
-7,385,5,225,0,0
-7,378,5,230,0,0
-7,371,5,235,0,0
-7,364,5,240,0,0
-7,332,5,245,1,0
-7,325,5,250,1,0
-7,318,5,255,0,0
-7,311,5,260,0,0
-7,304,5,265,0,0
-7,297,5,270,0,0
-7,290,5,275,0,0
-7,283,5,280,0,0
-7,276,5,285,0,0
-7,269,5,290,0,0
-7,262,5,295,0,0
-7,255,5,300,0,0
-7,248,5,305,0,0
-7,241,5,310,0,0
-7,234,5,315,0,0
-7,227,5,320,0,0
-7,220,5,325,0,0
-7,213,5,330,0,0
-7,206,5,335,0,0
-7,199,5,340,0,0
-7,192,5,345,0,0
-7,185,5,350,0,0
-7,178,5,355,0,0
-7,171,5,360,0,0
-7,164,5,365,0,0
-7,157,5,370,0,0
-7,150,5,375,0,0
-7,143,5,380,0,0
-7,136,5,385,0,0
-7,129,5,390,0,0
-7,147,5,395,0,0
-7,140,5,400,0,0
-7,133,5,0,0,0
-7,126,5,5,0,1
-7,119,5,10,0,1
-7,112,5,15,0,1
-7,105,5,20,0,1
-7,98,5,25,0,1
-7,91,5,30,0,1
-7,84,5,35,0,1
-7,77,5,40,0,1
-7,70,5,45,0,1
-7,63,5,50,0,1
-7,56,5,55,0,1
-7,49,5,60,0,1
-7,42,5,65,0,1
-7,35,5,70,0,1
-7,28,5,75,0,1
-7,21,5,80,0,1
-7,14,5,85,0,1
-7,7,5,90,0,1
-7,0,5,95,0,1
-7,-7,5,100,0,1
-7,-14,5,105,0,1
-7,-21,5,110,0,1
-7,-28,5,115,0,1
-7,-35,5,120,0,1
-7,-42,5,125,0,1
-7,-49,5,130,0,1
-6,700,5,135,0,1
-6,694,5,140,0,1
-6,688,5,145,0,1
-6,682,5,150,0,1
-6,676,5,155,0,0
-6,670,5,160,0,0
-6,664,5,165,0,0
-6,658,5,170,0,0
-6,652,5,175,0,0
-6,646,5,180,0,0
-6,640,5,185,0,0
-6,634,5,190,0,0
-6,628,5,195,0,0
-6,622,5,200,0,0
-6,616,5,205,0,0
-6,610,5,210,0,0
-6,604,5,215,0,0
-6,598,5,220,0,0
-6,592,5,225,0,0
-6,586,5,230,0,0
-6,555,5,235,1,0
-6,549,5,240,1,0
-6,543,5,245,1,0
-6,537,5,250,0,0
-6,531,5,255,0,0
-6,525,5,260,0,0
-6,519,5,265,0,0
-6,513,5,270,0,0
-6,507,5,275,0,0
-6,501,5,280,0,0
-6,495,5,285,0,0
-6,489,5,290,0,0
-6,483,5,295,0,0
-6,477,5,300,0,0
-6,471,5,305,0,0
-6,465,5,310,0,0
-6,459,5,315,0,0
-6,453,5,320,0,0
-6,447,5,325,0,0
-6,441,5,330,0,0
-6,435,5,335,0,0
-6,429,5,340,0,0
-6,423,5,345,0,0
-6,417,5,350,0,0
-6,411,5,355,0,0
-6,405,5,360,0,0
-6,399,5,365,0,0
-6,393,5,370,0,0
-6,387,5,375,0,0
-6,381,5,380,0,0
-6,400,5,385,0,0
-6,394,5,390,0,0
-6,388,5,395,0,0
-6,382,5,400,0,0
-6,376,5,0,0,0
-6,370,5,5,0,0
-6,364,5,10,0,0
-6,358,5,15,0,0
-6,352,5,20,0,0
-6,346,5,25,0,0
-6,340,5,30,0,0
-6,334,5,35,0,0
-6,328,5,40,0,0
-6,322,5,45,0,0
-6,316,5,50,0,0
-6,310,5,55,0,0
-6,304,5,60,0,0
-6,298,5,65,0,0
-6,292,5,70,0,0
-6,286,5,75,0,0
-6,280,5,80,0,0
-6,274,5,85,0,0
-6,268,5,90,0,0
-6,262,5,95,0,0
-6,256,5,100,0,0
-6,250,5,105,0,0
-6,244,5,110,0,0
-6,238,5,115,0,0
-6,232,5,120,0,0
-6,226,5,125,0,0
-6,220,5,130,0,0
-6,214,5,135,0,0
-6,208,5,140,0,0
-6,202,5,145,0,0
-6,196,5,150,0,0
-6,190,5,155,0,0
-6,184,5,160,0,0
-6,178,5,165,0,0
-6,172,5,170,0,0
-6,141,5,175,1,0
-6,135,5,180,1,0
-6,129,5,185,1,0
-6,123,5,190,0,0
-6,117,5,195,0,0
-6,111,5,200,0,0
-6,105,5,205,0,0
-6,99,5,210,0,0
-6,93,5,215,0,0
-6,87,5,220,0,0
-6,81,5,225,0,0
-6,75,5,230,0,1
-6,69,5,235,0,1
-6,63,5,240,0,1
-6,57,5,245,0,1
-6,51,5,250,0,1
-6,45,5,255,0,1
-6,39,5,260,0,1
-6,33,5,265,0,1
-6,27,5,270,0,1
-6,21,5,275,0,1
-6,15,5,280,0,1
-6,9,5,285,0,1
-6,3,5,290,0,1
-6,-3,5,295,0,1
-6,-9,5,300,0,1
-6,-15,5,305,0,1
-6,-21,5,310,0,1
-6,-27,5,315,0,1
-6,-33,5,320,0,1
-6,-14,5,325,0,1
-6,-20,5,330,0,1
-6,-26,5,335,0,1
-6,-32,5,340,0,1
-6,-38,5,345,0,1
-6,-44,5,350,0,1
-6,-50,5,355,0,1
-6,700,5,360,0,1
-6,694,5,365,0,1
-6,688,5,370,0,1
-6,682,5,375,0,1
-6,676,5,380,0,0
-6,670,5,385,0,0
-6,664,5,390,0,0
-6,658,5,395,0,0
-6,652,5,400,0,0
-6,646,5,0,0,0
-6,640,5,5,0,0
-6,634,5,10,0,0
-6,628,5,15,0,0
-6,622,5,20,0,0
-6,616,5,25,0,0
-6,610,5,30,0,0
-6,604,5,35,0,0
-6,598,5,40,0,0
-6,592,5,45,0,0
-6,586,5,50,0,0
-6,580,5,55,0,0
-6,574,5,60,0,0
-6,568,5,65,0,0
-6,562,5,70,0,0
-6,556,5,75,0,0
-6,550,5,80,0,0
-6,544,5,85,0,0
-6,538,5,90,0,0
-6,532,5,95,0,0
-6,526,5,100,0,0
-6,520,5,105,0,0
-6,514,5,110,0,0
-6,508,5,115,0,0
-6,502,5,120,0,0
-6,496,5,125,0,0
-6,490,5,130,0,0
-6,484,5,135,0,0
-6,478,5,140,0,0
-6,472,5,145,0,0
-6,466,5,150,0,0
-6,460,5,155,0,0
-6,454,5,160,0,0
-6,448,5,165,0,0
-6,442,5,170,0,0
-6,436,5,175,0,0
-6,430,5,180,0,0
-6,424,5,185,0,0
-6,418,5,190,0,0
-6,412,5,195,0,0
